,205Tl,209Bi,209Pb,209Tl,213Bi,213Po,217At,221Fr,225Ac,225Ra,229Th,233Pa,233U,237Np,241Am,241Pu,245Cm,Out_205Tl,Out_209Bi,Out_209Pb,Out_209Tl,Out_213Bi,Out_213Po,Out_217At,Out_221Fr,Out_225Ac,Out_225Ra,Out_229Th,Out_233Pa,Out_233U,Out_237Np,Out_241Am,Out_241Pu,Out_245Cm
3.1709791983764586e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2508231039294004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3781052675504126e-41,1.6038416309593389e-31,1.1451782718709828e-24,7.558303821580467e-11,7.960285144276525e-28,49.99999999992441,1.3909322605945228e-11,24.99999999998609,7.133373329771327e-13,24.999999999999286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.332677445015067e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.708275488493016e-41,6.643288953952153e-31,4.696612518674461e-24,1.530692251395602e-10,3.264677282352351e-27,49.99999999984693,2.816887603049651e-11,24.999999999971834,1.4446361961438306e-12,24.999999999998554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.416592843543837e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3213750463137505e-40,1.537814784022851e-30,1.0836181467737225e-23,2.3250648124508683e-10,7.532372605125381e-27,49.99999999976749,4.27874789364864e-11,24.999999999957215,2.1943488531790126e-12,24.999999999997804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.502621196064232e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4130841954997254e-40,2.808343730861313e-30,1.9756470421059957e-23,3.1394393362333045e-10,1.3732983065313742e-26,49.999999999686054,5.7774172036921984e-11,24.999999999942226,2.962938955568367e-12,24.999999999997037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5908157058577596e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.870978519355171e-40,4.505038047145151e-30,3.166141130066551e-23,3.9743194636445574e-10,2.2008264430660338e-26,49.999999999602565,7.31382236861129e-11,24.999999999926864,3.7508818293444504e-12,24.99999999999625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6812309158418926e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.721549604170211e-40,6.65872857241175e-30,4.676689967482209e-23,4.830221517049678e-10,3.250828855714857e-26,49.99999999951697,8.888913561158226e-11,24.99999999991111,4.558664769046837e-12,24.99999999999544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.773922742301536e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99283679612038e-40,9.302047425132422e-30,6.530144421593931e-23,5.707674819590946e-10,4.5391894835749755e-26,49.99999999942923,1.0503664879030548e-10,24.999999999894964,5.386787339084016e-12,24.99999999999461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.868948509469829e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714511083540683e-39,1.2469525624683404e-29,8.750685026828748e-23,6.607222022541876e-10,6.082716534935372e-26,49.99999999933927,1.2159074947290813e-10,24.999999999878412,6.235761682683415e-12,24.99999999999376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.966366984979686e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917963381440047e-39,1.6197695836634397e-29,1.1363893928989736e-22,7.52941944090392e-10,7.899192496632208e-26,49.99999999924705,1.38561675359554e-10,24.99999999986144,7.1061128386207885e-12,24.99999999999289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
